Iteration	Cost	Gradient norm	Weight distance
577	0.007176	0.169049	0.902351
578	0.014289	0.075611	0.897631
579	0.035298	0.251382	0.902665
580	0.004251	0.036244	0.905187
581	0.000233	0.000270	0.904935
582	0.017864	0.007553	0.903644
583	0.040765	0.265871	0.894338
584	0.026034	0.378682	0.901754
585	0.002166	0.003170	0.902427
586	0.009769	0.099224	0.897345
587	0.002185	0.007844	0.895933
588	0.031980	0.358018	0.885644
589	0.031208	0.165575	0.889484
590	0.041220	0.865556	0.873811
591	0.000000	0.000000	0.873809
592	0.000005	0.000060	0.873693
593	0.000460	0.000833	0.874100
594	0.041521	0.463668	0.881593
595	0.020848	0.370820	0.889289
596	0.031540	0.439594	0.878048
597	0.010529	0.161376	0.871549
598	0.009751	0.138910	0.865477
599	0.020595	0.109554	0.859603
600	0.005879	0.091156	0.854721
601	0.013789	0.007399	0.853245
602	0.015473	0.028659	0.850136
603	0.006390	0.041451	0.846712
604	0.009935	0.108770	0.851235
605	0.003854	0.068611	0.855041
606	0.000522	0.008815	0.853582
607	0.058223	1.393966	0.867984
608	0.025191	0.576651	0.855432
609	0.000198	0.002246	0.856138
610	0.000687	0.006521	0.854879
611	0.034123	0.141757	0.857951
612	0.019019	0.322678	0.865268
613	0.013378	0.017005	0.866056
614	0.004688	0.022185	0.867935
615	0.000282	0.001486	0.868484
616	0.000689	0.001953	0.867795
617	0.029752	0.267704	0.873186
618	0.012032	0.079805	0.868434
619	0.000954	0.022178	0.866201
620	0.000011	0.000040	0.866293
621	0.006806	0.086788	0.861584
622	0.000263	0.000014	0.861620
623	0.030881	0.167154	0.865214
624	0.003697	0.087764	0.869310
625	0.013580	0.196091	0.862113
626	0.021533	0.055172	0.857786
627	0.011784	0.247080	0.864350
628	0.005763	0.046323	0.860878
629	0.014914	0.324061	0.868200
630	0.014927	0.139775	0.861963
631	0.011135	0.191366	0.854941
632	0.008417	0.102214	0.859079
633	0.005277	0.025893	0.856424
634	0.000360	0.000887	0.855964
635	0.000001	0.000004	0.855935
636	0.000133	0.002534	0.856667
637	0.005062	0.001670	0.856757
638	0.017523	0.013558	0.856452
639	0.010531	0.150062	0.861377
640	0.000790	0.001253	0.860815
641	0.023127	0.076041	0.855774
642	0.020064	0.036357	0.852249
643	0.010971	0.058685	0.854949
644	0.001630	0.001706	0.854254
645	0.005548	0.037300	0.851108
646	0.000154	0.000775	0.850690
647	0.022667	0.227700	0.855921
648	0.015698	0.023852	0.853066
649	0.000617	0.010590	0.854518
650	0.004391	0.014962	0.852486
651	0.009413	0.129626	0.846683
652	0.000773	0.000263	0.846403
653	0.000018	0.000005	0.846368
654	0.012790	0.007453	0.846059
655	0.022972	0.296672	0.836802
656	0.025859	0.219227	0.841719
657	0.000514	0.000011	0.841667
658	0.001495	0.001727	0.840969
659	0.025010	0.291673	0.831673
660	0.016202	0.313551	0.838903
661	0.005453	0.004736	0.839406
662	0.000062	0.000667	0.839022
663	0.000011	0.000229	0.839245
664	0.001159	0.003981	0.838243
665	0.001320	0.019612	0.840215
666	0.008851	0.191764	0.833245
667	0.016861	0.027312	0.830243
668	0.020418	0.225118	0.835717
669	0.000733	0.002404	0.836384
670	0.000503	0.001623	0.836939
671	0.000267	0.000102	0.836775
672	0.000879	0.000781	0.837114
673	0.001027	0.023437	0.839288
674	0.012787	0.074160	0.834593
675	0.001431	0.000979	0.834053
676	0.004097	0.045602	0.836893
677	0.007012	0.146689	0.830843
678	0.007188	0.169314	0.836421
679	0.014396	0.098947	0.839780
680	0.009123	0.013827	0.840565
681	0.003656	0.046676	0.837204
682	0.004762	0.036257	0.839582
683	0.000000	0.000000	0.839587
684	0.001908	0.004343	0.838512
685	0.011535	0.282084	0.830085
686	0.014610	0.335106	0.837477
687	0.023314	0.093205	0.831943
688	0.004914	0.048665	0.834759
689	0.006090	0.001715	0.834267
690	0.005598	0.046692	0.830772
691	0.007137	0.003480	0.830722
692	0.003313	0.003324	0.831244
693	0.022799	0.203349	0.823398
694	0.007830	0.097664	0.818295
695	0.013703	0.326664	0.825753
696	0.000595	0.008205	0.824387
697	0.017862	0.030801	0.821245
698	0.002045	0.000942	0.821491
699	0.005434	0.038898	0.818242
700	0.000368	0.000286	0.818463
701	0.000014	0.000001	0.818445
702	0.012749	0.042763	0.814755
703	0.000244	0.001295	0.814201
704	0.020117	0.128250	0.817655
705	0.001060	0.022429	0.815372
706	0.002015	0.002486	0.815930
707	0.006216	0.002015	0.815482
708	0.000158	0.000208	0.815683
709	0.001291	0.000535	0.815273
710	0.017973	0.067457	0.817261
711	0.003243	0.020614	0.814934
712	0.004969	0.012543	0.812993
713	0.000000	0.000000	0.812991
714	0.002550	0.038566	0.815700
715	0.016813	0.344841	0.822883
716	0.005649	0.043019	0.819504
717	0.022417	0.390898	0.809001
718	0.004109	0.012596	0.807086
719	0.000582	0.007923	0.808368
720	0.011202	0.070415	0.811257
721	0.011814	0.011553	0.809454
722	0.008553	0.046598	0.811819
723	0.012333	0.277270	0.803274
724	0.000875	0.004511	0.802209
725	0.000005	0.000009	0.802164
726	0.001895	0.000579	0.802306
727	0.014254	0.228829	0.808203
728	0.003300	0.004472	0.808842
729	0.011834	0.008569	0.807874
730	0.002020	0.002122	0.807076
731	0.007972	0.125250	0.811546
732	0.008376	0.105696	0.815442
733	0.000147	0.000439	0.815131
734	0.008907	0.143117	0.809063
735	0.000769	0.017546	0.807080
736	0.016437	0.052803	0.802957
737	0.005252	0.007242	0.803606
738	0.000264	0.001143	0.803090
739	0.000023	0.000399	0.803381
740	0.013511	0.373981	0.793463
741	0.000047	0.000294	0.793201
742	0.004704	0.086097	0.797220
743	0.000080	0.000054	0.797104
744	0.011266	0.027750	0.794132
745	0.009113	0.019193	0.791665
746	0.008562	0.132996	0.796376
747	0.013717	0.045906	0.797916
748	0.004341	0.051590	0.794254
749	0.007239	0.082031	0.797808
750	0.000092	0.001864	0.797168
751	0.000351	0.000484	0.797458
752	0.009252	0.032138	0.799020
753	0.005430	0.126769	0.793410
754	0.007505	0.055138	0.796115
755	0.005087	0.002178	0.795894
756	0.005592	0.004730	0.794686
757	0.009338	0.049571	0.796905
758	0.003264	0.022874	0.798767
759	0.005289	0.101739	0.793735
760	0.000040	0.000002	0.793749
761	0.001662	0.002067	0.792970
762	0.002590	0.001537	0.792272
763	0.000118	0.000172	0.792069
764	0.001969	0.010281	0.793364
765	0.010492	0.047741	0.789530
766	0.000301	0.000683	0.789119
767	0.007187	0.029310	0.790835
768	0.006496	0.038166	0.792987
769	0.000001	0.000003	0.792962
770	0.001321	0.017673	0.790915
771	0.000108	0.000972	0.791362
772	0.004028	0.050525	0.794239
773	0.009198	0.011078	0.792445
774	0.003160	0.001202	0.791870
775	0.004887	0.010153	0.790099
776	0.000001	0.000000	0.790095
777	0.000791	0.010873	0.788504
778	0.006553	0.128890	0.782722
779	0.003337	0.001900	0.782885
780	0.005182	0.041208	0.785364
781	0.007332	0.032150	0.782250
782	0.006798	0.058315	0.778181
783	0.002698	0.028844	0.780471
784	0.000095	0.000126	0.780296
785	0.000006	0.000021	0.780228
786	0.002092	0.014978	0.781844
787	0.008910	0.176145	0.787149
788	0.002051	0.006119	0.788050
789	0.001600	0.007455	0.786663
790	0.000003	0.000005	0.786696
791	0.001883	0.003799	0.787369
792	0.009210	0.057433	0.783240
793	0.000028	0.000290	0.783487
794	0.011065	0.053443	0.779426
795	0.001392	0.004317	0.780247
796	0.008753	0.214168	0.786147
797	0.000070	0.000105	0.786287
798	0.005084	0.012791	0.784310
799	0.001476	0.005259	0.783133
800	0.000229	0.000594	0.783462
801	0.000411	0.000648	0.783056
802	0.005072	0.114616	0.787423
803	0.007439	0.197633	0.780409
804	0.002941	0.015798	0.778331
805	0.001435	0.027109	0.775779
806	0.008390	0.239057	0.782146
807	0.000013	0.000003	0.782119
808	0.000904	0.009107	0.780653
809	0.001507	0.000287	0.780602
810	0.008778	0.133372	0.774570
811	0.005024	0.021139	0.772068
812	0.000127	0.000093	0.771913
813	0.009856	0.193762	0.777379
814	0.004284	0.094890	0.772500
815	0.005656	0.011618	0.773276
816	0.000001	0.000009	0.773321
817	0.005428	0.060075	0.776296
